Date, Close/Last, Volume, Open, High, Low
02/05/2021, $136.76, 75693830, $137.35, $137.42, $135.86
02/04/2021, $137.39, 84183060, $136.3, $137.4, $134.59
02/03/2021, $133.94, 89880940, $135.76, $135.77, $133.61
02/02/2021, $134.99, 83305370, $135.73, $136.31, $134.61
02/01/2021, $134.14, 106239800, $133.75, $135.38, $130.93
01/29/2021, $131.96, 177523800, $135.83, $136.74, $130.21
01/28/2021, $137.09, 142621100, $139.52, $141.99, $136.7
01/27/2021, $142.06, 140843800, $143.43, $144.3, $140.41
01/26/2021, $143.16, 98390560, $143.6, $144.3, $141.37
01/25/2021, $142.92, 157611700, $143.07, $145.09, $136.54
01/22/2021, $139.07, 114459400, $136.28, $139.85, $135.02
01/21/2021, $136.87, 120529500, $133.8, $139.67, $133.59
01/20/2021, $132.03, 104319500, $128.66, $132.49, $128.55
01/19/2021, $127.83, 90757330, $127.78, $128.71, $126.938
01/15/2021, $127.14, 111598500, $128.78, $130.2242, $127
01/14/2021, $128.91, 90221760, $130.8, $131, $128.76
01/13/2021, $130.89, 88636830, $128.76, $131.45, $128.49
01/12/2021, $128.8, 91951150, $128.5, $129.69, $126.86
01/11/2021, $128.98, 100620900, $129.19, $130.17, $128.5
01/08/2021, $132.05, 105158200, $132.43, $132.63, $130.23
01/07/2021, $130.92, 109578200, $128.36, $131.63, $127.86
