 Close/Last, Volume, Open, High, Low
$136.76 ,75693830,$137.35 ,$137.42 ,$135.86 
$137.39 ,84183060,$136.30 ,$137.40 ,$134.59 
$133.94 ,89880940,$135.76 ,$135.77 ,$133.61 
$134.99 ,83305370,$135.73 ,$136.31 ,$134.61 
$134.14 ,106239800,$133.75 ,$135.38 ,$130.93 
$131.96 ,177523800,$135.83 ,$136.74 ,$130.21 
$137.09 ,142621100,$139.52 ,$141.99 ,$136.70 
$142.06 ,140843800,$143.43 ,$144.30 ,$140.41 
$143.16 ,98390560,$143.60 ,$144.30 ,$141.37 
$142.92 ,157611700,$143.07 ,$145.09 ,$136.54 
$139.07 ,114459400,$136.28 ,$139.85 ,$135.02 
$136.87 ,120529500,$133.80 ,$139.67 ,$133.59 
$132.03 ,104319500,$128.66 ,$132.49 ,$128.55 
$127.83 ,90757330,$127.78 ,$128.71 ,$126.94 
$127.14 ,111598500,$128.78 ,$130.22 ,$127 
$128.91 ,90221760,$130.80 ,$131 ,$128.76 
$130.89 ,88636830,$128.76 ,$131.45 ,$128.49 
$128.80 ,91951150,$128.50 ,$129.69 ,$126.86 
$128.98 ,100620900,$129.19 ,$130.17 ,$128.50 
$132.05 ,105158200,$132.43 ,$132.63 ,$130.23 
$130.92 ,109578200,$128.36 ,$131.63 ,$127.86 
